2022-06-14 10:21:17,972 INFO    MainThread:6229 [wandb_setup.py:_flush():76] Loading settings from /Users/ramg/.config/wandb/settings
2022-06-14 10:21:17,973 INFO    MainThread:6229 [wandb_setup.py:_flush():76] Loading settings from /Users/ramg/Desktop/project3/GAN_2/wandb/settings
2022-06-14 10:21:17,973 INFO    MainThread:6229 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-06-14 10:21:17,973 INFO    MainThread:6229 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-06-14 10:21:17,973 INFO    MainThread:6229 [wandb_init.py:_log_setup():428] Logging user logs to /Users/ramg/Desktop/project3/GAN_2/wandb/run-20220614_102117-3idupx7a/logs/debug.log
2022-06-14 10:21:17,973 INFO    MainThread:6229 [wandb_init.py:_log_setup():429] Logging internal logs to /Users/ramg/Desktop/project3/GAN_2/wandb/run-20220614_102117-3idupx7a/logs/debug-internal.log
2022-06-14 10:21:17,973 INFO    MainThread:6229 [wandb_init.py:_jupyter_setup():378] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x16ab23340>
2022-06-14 10:21:17,975 INFO    MainThread:6229 [wandb_init.py:init():462] calling init triggers
2022-06-14 10:21:17,975 INFO    MainThread:6229 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-06-14 10:21:17,975 INFO    MainThread:6229 [wandb_init.py:init():515] starting backend
2022-06-14 10:21:17,975 INFO    MainThread:6229 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-06-14 10:21:18,372 INFO    MainThread:6229 [backend.py:ensure_launched():217] starting backend process...
2022-06-14 10:21:18,390 INFO    MainThread:6229 [backend.py:ensure_launched():222] started backend process with pid: 6295
2022-06-14 10:21:18,391 INFO    MainThread:6229 [wandb_init.py:init():525] backend started and connected
2022-06-14 10:21:18,427 INFO    MainThread:6229 [wandb_run.py:_label_probe_notebook():1089] probe notebook
2022-06-14 10:21:18,427 INFO    MainThread:6229 [wandb_run.py:_label_probe_notebook():1099] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-06-14 10:21:18,427 INFO    MainThread:6229 [wandb_init.py:init():596] updated telemetry
2022-06-14 10:21:18,453 INFO    MainThread:6229 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-06-14 10:21:19,149 INFO    MainThread:6229 [wandb_run.py:_on_init():1924] communicating current version
2022-06-14 10:21:19,199 INFO    MainThread:6229 [wandb_run.py:_on_init():1928] got version response 
2022-06-14 10:21:19,199 INFO    MainThread:6229 [wandb_init.py:init():662] starting run threads in backend
2022-06-14 10:21:21,900 INFO    MainThread:6229 [wandb_run.py:_console_start():1898] atexit reg
2022-06-14 10:21:21,901 INFO    MainThread:6229 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.WRAP
2022-06-14 10:21:21,901 INFO    MainThread:6229 [wandb_run.py:_redirect():1808] Wrapping output streams.
2022-06-14 10:21:21,902 INFO    MainThread:6229 [wandb_run.py:_redirect():1832] Redirects installed.
2022-06-14 10:21:21,902 INFO    MainThread:6229 [wandb_init.py:init():688] run started, returning control to user process
2022-06-14 10:21:22,137 INFO    MainThread:6229 [wandb_init.py:_pause_backend():341] pausing backend
2022-06-14 10:21:22,137 INFO    MainThread:6229 [jupyter.py:save_ipynb():377] not saving jupyter notebook
